Unnamed: 0,year,month,day,store_number,zip_code,county_number,category,vendor_number,item_number,pack,bottle_vol,bottle_cost,state_bottle_retail,bottles_sold,sale,fd,vol_sold,store_subnumber
8428146,2016,1,4,3525,-13183,92,1031200,380,42079,12,1000,7.5,11.25,2,22.5,3.2222682999999996,2.0,100
8428147,2016,1,4,2191,-12904,56,1031200,380,42079,12,1000,7.5,11.25,12,135.0,5.1788254,12.0,100
8428148,2016,1,4,4633,-14026,78,1012100,115,11774,24,375,3.07,4.61,6,27.66,3.4438313999999997,2.25,520
8428149,2016,1,4,4560,-13999,83,1012100,115,11774,24,375,3.07,4.61,6,27.66,3.4438313999999997,2.25,2914
8428150,2016,1,4,5094,-13135,57,1012100,115,11774,24,375,3.07,4.61,24,110.64,4.9577160000000005,9.0,2778
8428151,2016,1,4,4740,-14035,78,1012100,115,11774,24,375,3.07,4.61,24,110.64,4.9577160000000005,9.0,4405
8428152,2016,1,4,4549,-15480,85,1012100,115,11774,24,375,3.07,4.61,24,110.64,4.9577160000000005,9.0,2913
8428153,2016,1,4,3612,-13476,49,1031200,380,42009,6,1750,10.99,16.49,2,32.98,3.6333961,3.5,100
8428154,2016,1,4,2590,-13134,57,1031200,380,42002,6,500,4.89,7.34,1,7.34,2.037548,0.5,5
8428155,2016,1,4,2605,-13134,57,1031200,380,42002,6,500,4.89,7.34,3,22.02,3.1991857999999995,1.5,5
8428156,2016,1,4,4482,-15411,91,1031200,380,42002,6,500,4.89,7.34,1,7.34,2.037548,0.5,929
8428157,2016,1,4,4696,-15270,77,1031200,380,42002,6,500,4.89,7.34,1,7.34,2.037548,0.5,517
8428158,2016,1,4,4361,-15223,77,1031200,380,42002,6,500,4.89,7.34,2,14.68,2.767198,1.0,100
8428159,2016,1,4,3917,-12732,82,1031200,380,42002,6,500,4.89,7.34,1,7.34,2.037548,0.5,100
8428160,2016,1,4,3385,-13134,57,1031200,380,42079,12,1000,7.5,11.25,12,135.0,5.1788254,12.0,100
8428161,2016,1,4,4718,-15270,77,1031200,380,41989,12,750,6.5,9.75,12,117.0,5.019722499999999,9.0,6623
8428162,2016,1,4,5013,-12814,82,1101100,434,41846,12,750,9.0,13.5,12,162.0,5.382259400000001,9.0,100
8428163,2016,1,4,2512,-13296,52,1031200,300,41943,12,750,7.0,10.5,3,31.5,3.583849,2.25,100
8428164,2016,1,4,4098,-13183,92,1101100,434,41846,12,750,9.0,13.5,12,162.0,5.382259400000001,9.0,100
8428165,2016,1,4,2507,-12935,29,1101100,434,41846,12,750,9.0,13.5,12,162.0,5.382259400000001,9.0,1
8428166,2016,1,4,2191,-12904,56,1101100,434,41846,12,750,9.0,13.5,1,13.5,2.6783984,0.75,100
8428167,2016,1,4,5054,-13449,28,1101100,434,41846,12,750,9.0,13.5,12,162.0,5.382259400000001,9.0,100
8428168,2016,1,4,3465,-15320,39,1101100,434,41846,12,750,9.0,13.5,3,40.5,3.855663,2.25,100
8428169,2016,1,4,2517,-15328,50,1101100,434,41846,12,750,9.0,13.5,12,162.0,5.382259400000001,9.0,1
8428170,2016,1,4,3525,-13183,92,1101100,434,41846,12,750,9.0,13.5,12,162.0,5.382259400000001,9.0,100
8428171,2016,1,4,4619,-12909,56,1101100,434,41846,12,750,9.0,13.5,1,13.5,2.6783984,0.75,100
8428172,2016,1,4,4303,-12899,29,1101100,434,41846,12,750,9.0,13.5,2,27.0,3.4178638,1.5,100
8428173,2016,1,4,4856,-13283,57,1101100,434,41846,12,750,9.0,13.5,6,81.0,4.61316,4.5,100
8428174,2016,1,4,2647,-13125,57,1031200,259,41840,12,750,3.82,6.06,2,12.12,2.5643667999999997,1.5,7
8428175,2016,1,4,5046,-12904,56,1031200,380,41783,6,500,4.89,7.34,6,44.04,3.946628,3.0,100
8428176,2016,1,4,4819,-15527,77,1031200,380,41783,6,500,4.89,7.34,1,7.34,2.037548,0.5,100
8428177,2016,1,4,2605,-13134,57,1031200,380,41783,6,500,4.89,7.34,3,22.02,3.1991857999999995,1.5,5
8428178,2016,1,4,2590,-13134,57,1031200,380,41783,6,500,4.89,7.34,1,7.34,2.037548,0.5,5
8428179,2016,1,4,2521,-15271,77,1031200,380,41783,6,500,4.89,7.34,6,44.04,3.946628,3.0,100
8428180,2016,1,4,2532,-15219,77,1031200,380,41783,6,500,4.89,7.34,1,7.34,2.037548,0.5,2
8428181,2016,1,4,3917,-12732,82,1031200,380,41783,6,500,4.89,7.34,2,14.68,2.767198,1.0,100
8428182,2016,1,4,4933,-12935,29,1031200,380,41783,6,500,4.89,7.34,6,44.04,3.946628,3.0,100
8428183,2016,1,4,5018,-12734,82,1031200,380,41783,6,500,4.89,7.34,1,7.34,2.037548,0.5,100
8428184,2016,1,4,3612,-13476,49,1062100,260,42166,12,750,10.0,15.0,2,30.0,3.5312523999999996,1.5,100
8428185,2016,1,4,3952,-12814,82,1031200,380,41707,12,1000,5.78,8.67,12,104.04,4.8895683,12.0,100
8428186,2016,1,4,2662,-12775,70,1031200,380,41783,6,500,4.89,7.34,6,44.04,3.946628,3.0,100
8428187,2016,1,4,3549,-12909,56,1031200,380,41783,6,500,4.89,7.34,6,44.04,3.946628,3.0,100
8428188,2016,1,4,2498,-14930,33,1031200,380,41783,6,500,4.89,7.34,4,29.36,3.5080237000000003,2.0,100
8428189,2016,1,4,4580,-13183,92,1031200,380,41783,6,500,4.89,7.34,1,7.34,2.037548,0.5,100
8428190,2016,1,4,4504,-15411,91,1031200,380,41783,6,500,4.89,7.34,6,44.04,3.946628,3.0,921
8428191,2016,1,4,4898,-12935,29,1031200,380,41783,6,500,4.89,7.34,1,7.34,2.037548,0.5,100
8428192,2016,1,4,4619,-12909,56,1031200,380,41783,6,500,4.89,7.34,1,7.34,2.037548,0.5,100
8428193,2016,1,4,2560,-13234,57,1101100,434,41846,12,750,9.0,13.5,12,162.0,5.382259400000001,9.0,100
8428194,2016,1,4,4223,-14829,7,1101100,434,41846,12,750,9.0,13.5,5,67.5,4.412795,3.75,100
8428195,2016,1,4,3899,-15270,77,1101100,434,41846,12,750,9.0,13.5,12,162.0,5.382259400000001,9.0,100
8428196,2016,1,4,3628,-13134,57,1101100,434,41846,12,750,9.0,13.5,12,162.0,5.382259400000001,9.0,100
8428197,2016,1,4,2588,-13133,57,1031200,259,41927,12,750,3.82,6.06,3,18.18,2.994543,2.25,6
8428198,2016,1,4,2573,-12775,70,1031200,259,41927,12,750,3.82,6.06,1,6.06,1.8377765,0.75,100
8428199,2016,1,4,2662,-12775,70,1031200,259,41927,12,750,3.82,6.06,3,18.18,2.994543,2.25,100
8428200,2016,1,4,4223,-14829,7,1031200,259,41927,12,750,3.82,6.06,2,12.12,2.5643667999999997,1.5,100
8428201,2016,1,4,4819,-15527,77,1031200,380,41857,6,500,4.89,7.34,1,7.34,2.037548,0.5,100
8428202,2016,1,4,4482,-15411,91,1031200,380,41857,6,500,4.89,7.34,1,7.34,2.037548,0.5,929
8428203,2016,1,4,2532,-15219,77,1031200,380,41857,6,500,4.89,7.34,2,14.68,2.767198,1.0,2
8428204,2016,1,4,4874,-12895,44,1031200,380,41857,6,500,4.89,7.34,1,7.34,2.037548,0.5,100
8428205,2016,1,4,2498,-14930,33,1031200,380,41857,6,500,4.89,7.34,1,7.34,2.037548,0.5,100
8428206,2016,1,4,4867,-14035,78,1031200,380,41857,6,500,4.89,7.34,6,44.04,3.946628,3.0,100
8428207,2016,1,4,2590,-13134,57,1101100,434,41846,12,750,9.0,13.5,12,162.0,5.382259400000001,9.0,5
8428208,2016,1,4,4829,-15222,77,1101100,434,41846,12,750,9.0,13.5,12,162.0,5.382259400000001,9.0,100
8428209,2016,1,4,4819,-15527,77,1101100,434,41846,12,750,9.0,13.5,2,27.0,3.4178638,1.5,100
8428210,2016,1,4,5142,-13233,57,1101100,434,41846,12,750,9.0,13.5,1,13.5,2.6783984,0.75,100
8428211,2016,1,4,4856,-13283,57,1031200,380,41989,12,750,6.5,9.75,6,58.5,4.256092,4.5,100
8428212,2016,1,4,2512,-13296,52,1101100,434,41846,12,750,9.0,13.5,12,162.0,5.382259400000001,9.0,100
8428213,2016,1,4,4312,-14035,78,1101100,434,41846,12,750,9.0,13.5,4,54.0,4.1686554,3.0,100
8428214,2016,1,4,2650,-13999,83,1101100,434,41846,12,750,9.0,13.5,12,162.0,5.382259400000001,9.0,100
8428215,2016,1,4,2647,-13125,57,1101100,434,41846,12,750,9.0,13.5,12,162.0,5.382259400000001,9.0,7
8428216,2016,1,4,2554,-12734,82,1101100,434,41846,12,750,9.0,13.5,12,162.0,5.382259400000001,9.0,100
8428217,2016,1,4,2190,-15222,77,1101100,434,41846,12,750,9.0,13.5,12,162.0,5.382259400000001,9.0,100
8428218,2016,1,4,3162,-12775,70,1101100,434,41846,12,750,9.0,13.5,5,67.5,4.412795,3.75,100
8428219,2016,1,4,4972,-13377,22,1101100,434,41846,12,750,9.0,13.5,4,54.0,4.1686554,3.0,100
8428220,2016,1,4,3747,-12945,54,1101100,434,41846,12,750,9.0,13.5,4,54.0,4.1686554,3.0,100
8428221,2016,1,4,2460,-15095,100,1101100,434,41846,12,750,9.0,13.5,12,162.0,5.382259400000001,9.0,100
8428222,2016,1,4,3679,-13377,22,1101100,434,41846,12,750,9.0,13.5,1,13.5,2.6783984,0.75,100
8428223,2016,1,4,2618,-13134,57,1101100,434,41846,12,750,9.0,13.5,12,162.0,5.382259400000001,9.0,6
8428224,2016,1,4,3886,-13331,53,1101100,434,41846,12,750,9.0,13.5,24,324.0,6.163139,18.0,100
8428225,2016,1,4,3811,-12904,56,1101100,434,41846,12,750,9.0,13.5,12,162.0,5.382259400000001,9.0,100
